service_id,ticket_number,estado,prioridad,tipo_servicio,subservicio,descripcion,cliente_id,cliente_nombre,ubicacion_direccion,ubicacion_colonia,ubicacion_ciudad,ubicacion_estado,ubicacion_cp,ubicacion_lat,ubicacion_lng,ubicacion_referencias,contacto_nombre,contacto_telefono,contacto_email,contacto_requiere_acceso,contacto_tipo_acceso,programacion_fecha_programada,programacion_ventana_inicio,programacion_ventana_fin,programacion_eta,tecnico_id,tecnico_nombre,SLA_tipo,SLA_limite,checklist,materiales_requeridos,herramientas,riesgos,permisos_requeridos,notas,tiempo_estimado_min,precio_estimado_monto,precio_estimado_moneda,facturacion_requiere_factura,facturacion_orden_compra,evidencia_fotos_previas,evidencia_firma_requerida,evidencia_firmado_por,created_at,updated_at
SRV-202601-001,TCK-1001,programado,alta,Electricidad,Mantenimiento preventivo tableros,"Revision de conexiones, apriete, termografia rapida.",CL-001,Plasticos del Norte S.A.,Av. Industrias 1500,Parque Industrial,Monterrey,NL,64000,25.6866,-100.3161,"Porton azul, nave B",Laura Gomez,+52 81 1234 5678,lgomez@plasticosnorte.mx,True,Gafete temporal y casco,2026-01-28,08:00,10:00,08:30,TEC-017,J. Martinez,Gold 8x5,2026-01-28T17:00:00-06:00,"[""PPE completo"", ""Corte energia"", ""Termografia"", ""Reporte final""]","[{""sku"": ""TB-TERM-01"", ""descripcion"": ""Etiqueta termica"", ""cantidad"": 10}, {""sku"": ""TOR-8MM"", ""descripcion"": ""Tornillo 8mm"", ""cantidad"": 12}]","[""Multimetro"", ""Termografo"", ""Llave Allen""]","[""Energia electrica"", ""Espacios confinados""]","[""Trabajo electrico""]",Coordinar corte con mantenimiento interno.,120,3500,MXN,True,OC-7841,"[""https://example.com/fotos/1001_1.jpg""]",True,,2026-01-26T10:12:00-06:00,2026-01-26T10:12:00-06:00
SRV-202601-002,TCK-1002,en_ruta,media,Plomeria,Deteccion de fuga,Fuga reportada en linea de agua sanitaria nivel 3.,CL-002,Edificio Cumbre,Calle Sierra 245,Centro,San Pedro Garza Garcia,NL,66220,25.6575,-100.4022,Acceso por recepcion principal,Miguel Tovar,+52 81 2222 3344,mtovar@cumbre.mx,True,Registro en lobby,2026-01-27,11:00,13:00,11:25,TEC-011,K. Hernandez,Standard 8x5,2026-01-27T18:00:00-06:00,"[""PPE"", ""Prueba de presion"", ""Fotografias antes/despues""]","[{""sku"": ""CPVC-1"", ""descripcion"": ""Tubo CPVC 1\"""", ""cantidad"": 3}, {""sku"": ""CINT-TEF"", ""descripcion"": ""Cinta teflon"", ""cantidad"": 1}]","[""Detector acustico"", ""Llave Stillson"", ""Sellador""]","[""Pisos resbalosos""]",[],Avisar al condominio antes de cortar suministro.,90,1800,MXN,False,,[],True,,2026-01-26T09:00:00-06:00,2026-01-26T11:05:00-06:00
SRV-202601-003,TCK-1003,programado,alta,Aire acondicionado,Carga de gas y limpieza,Mini-split 2T no enfria lo suficiente.,CL-003,Restaurante La Fabrica,Av. Constitucion 505,Centro,Monterrey,NL,64000,25.6767,-100.31,Frente a estacionamiento subterraneo,Daniela Ruiz,+52 81 9988 7766,druiz@lafabrica.mx,False,,2026-01-29,16:00,18:00,,TEC-005,A. Lozano,Gold 8x5,2026-01-29T18:00:00-06:00,"[""Limpieza evaporador/condensador"", ""Presiones"", ""Amperaje"", ""Prueba final""]","[{""sku"": ""R410A"", ""descripcion"": ""Refrigerante R410A"", ""cantidad"": 1.2}, {""sku"": ""FILT-AC"", ""descripcion"": ""Filtro mini-split"", ""cantidad"": 1}]","[""Bomba de vacio"", ""Manifold"", ""Amperimetro""]","[""Superficie caliente""]",[],Cliente requiere limpieza sin olores fuertes.,150,2650,MXN,True,OC-AC-229,"[""https://example.com/fotos/1003_pre.jpg""]",True,,2026-01-26T08:40:00-06:00,2026-01-26T08:40:00-06:00
SRV-202601-004,TCK-1004,en_sitio,critica,Redes,Recableado y pruebas POE,Camaras desconectandose por caida de voltaje en POE.,CL-004,Logistica Express,Blvd. Anillo 300,Zona Industrial,Apodaca,NL,66600,25.7802,-100.188,,Sara Pineda,+52 81 3344 5566,spineda@logiexpress.com,True,Chaleco y gafete visitante,2026-01-26,07:00,11:00,07:20,TEC-020,R. Villalobos,Platinum 24x7,2026-01-26T11:00:00-06:00,"[""Mapeo puertos"", ""Certificacion cable"", ""Prueba camaras""]","[{""sku"": ""CAT6-305"", ""descripcion"": ""Cable CAT6 UTP"", ""cantidad"": 60}]","[""Certificador Fluke"", ""Ponchadora"", ""Tester POE""]","[""Trabajo en altura""]","[""Trabajo en altura""]",Area de andenes con trafico de montacargas.,240,5200,MXN,True,OC-POE-55,[],True,,2026-01-26T06:30:00-06:00,2026-01-26T07:35:00-06:00
SRV-202601-005,TCK-1005,programado,baja,Carpinteria,Ajuste de puertas,Puertas rozan el piso por humedad.,CL-005,Colegio Horizonte,Cam. a la Sierra 950,Residencial,Santa Catarina,NL,66100,25.672,-100.472,,Patricia Leon,+52 81 6677 8899,pleon@colegiohorizonte.edu,True,Registro de visitante,2026-01-30,09:00,12:00,,TEC-004,M. Ortega,Standard 8x5,2026-01-30T18:00:00-06:00,"[""Inspeccion marcos"", ""Cepillado"", ""Ajuste bisagras""]","[{""sku"": ""BIS-3PULG"", ""descripcion"": ""Bisagra 3\"""", ""cantidad"": 4}]","[""Lijadora"", ""Cepillo"", ""Destornillador""]","[""Polvo en suspension""]",[],Realizar fuera de horario de clases.,180,900,MXN,False,,[],True,,2026-01-26T12:10:00-06:00,2026-01-26T12:10:00-06:00
SRV-202601-006,TCK-1006,reprogramado,media,Pintura,Repintado de muros interiores,"Danos por humedad leve, requiere resane y una capa.",CL-006,Oficinas Nova,Av. Vasconcelos 123,Miravalle,Monterrey,NL,64020,25.666,-100.345,,Hector Salas,+52 81 1234 0099,hsalas@nova.mx,True,Carta responsiva,2026-02-01,13:00,17:00,,TEC-022,C. Pacheco,Standard 8x5,2026-02-01T18:00:00-06:00,"[""Resane"", ""Lijado"", ""Aplicacion pintura"", ""Limpieza""]","[{""sku"": ""PNT-INT-MAT"", ""descripcion"": ""Pintura interior mate 19L"", ""cantidad"": 1}, {""sku"": ""RES-1KG"", ""descripcion"": ""Resanador 1kg"", ""cantidad"": 1}]","[""Rodillo"", ""Brocha"", ""Lija grano 220""]","[""Vapores de pintura""]",[],Reprogramado por junta en sala A.,240,2100,MXN,True,OC-PNT-09,[],False,,2026-01-26T12:30:00-06:00,2026-01-26T15:05:00-06:00
SRV-202601-007,TCK-1007,cancelado,baja,Jardineria,Poda y retiro,"Poda de setos perimetrales, retiro de residuos.",CL-007,Residencial Alamo,Priv. Robles 45,Alamo,San Nicolas de los Garza,NL,66400,25.741,-100.294,,Comite Vecinal,+52 81 5555 1111,comite@alamo.mx,False,,2026-01-27,08:00,10:00,,TEC-018,F. Castaneda,Standard 8x5,2026-01-27T18:00:00-06:00,"[""PPE"", ""Poda"", ""Recoleccion""]",[],"[""Podadora"", ""Tijeras"", ""Sopladora""]","[""Objetos proyectados""]",[],Cancelado por lluvia. Reprogramar.,120,700,MXN,False,,[],False,,2026-01-25T16:00:00-06:00,2026-01-26T07:00:00-06:00
SRV-202601-008,TCK-1008,programado,alta,CCTV,Sustitucion de DVR y discos,"DVR con sectores danados, perdida de grabaciones.",CL-008,Tienda Mayorista X,Av. Lincoln 301,Nueva Morelos,Monterrey,NL,64100,25.7321,-100.3992,,Ivan Chavez,+52 81 9090 1234,ichavez@mayoristax.mx,True,Area de servidores,2026-01-28,19:00,22:00,,TEC-014,S. Rivas,Platinum 24x7,2026-01-29T07:00:00-06:00,"[""Respaldo"", ""Reemplazo"", ""Configuracion"", ""Pruebas grabacion""]","[{""sku"": ""DVR-16CH-4K"", ""descripcion"": ""DVR 16 canales 4K"", ""cantidad"": 1}, {""sku"": ""HDD-4TB"", ""descripcion"": ""Disco duro 4TB vigilancia"", ""cantidad"": 2}]","[""Destornillador"", ""Laptop"", ""Crimpadora""]","[""Electricidad"", ""Espacio reducido""]","[""Area restringida""]",Realizar fuera de horario de tienda.,180,8900,MXN,True,OC-CCTV-312,[],True,,2026-01-26T09:40:00-06:00,2026-01-26T09:40:00-06:00
SRV-202601-009,TCK-1009,programado,media,Albanileria,Resane y sellado,Fisuras en muro exterior por dilatacion.,CL-009,Bodega Rio,Carretera Laredo Km 18,Parque Logistico,Escobedo,NL,66050,25.831,-100.328,,Edgar Pena,+52 81 4444 8888,epenia@bodegario.mx,True,Caseta con registro,2026-01-31,08:00,12:00,,TEC-013,V. Zuniga,Standard 8x5,2026-01-31T18:00:00-06:00,"[""Limpieza fisuras"", ""Aplicacion sellador"", ""Prueba agua""]","[{""sku"": ""SELL-ELAS"", ""descripcion"": ""Sellador elastomerico"", ""cantidad"": 2}]","[""Espatula"", ""Pistola de calafateo"", ""Esmeril""]","[""Trabajo en exterior""]",[],Evitar horario de carga/descarga.,210,2300,MXN,True,,[],True,,2026-01-26T13:15:00-06:00,2026-01-26T13:15:00-06:00
SRV-202601-010,TCK-1010,programado,alta,Cerrajeria,Cambio de cerradura,"Oficina perdio llaves, requiere cambio y duplicados.",CL-010,Consultoria Beta,Paseo del Acero 88,Valle,San Pedro Garza Garcia,NL,66265,25.651,-100.356,,Adriana Flores,+52 81 6000 7788,aflores@beta.mx,False,,2026-01-27,15:00,17:00,,TEC-002,E. Trevino,Gold 8x5,2026-01-27T17:00:00-06:00,"[""Identificacion responsable"", ""Cambio cilindro"", ""Entrega llaves""]","[{""sku"": ""CERR-STD"", ""descripcion"": ""Cerradura estandar"", ""cantidad"": 1}]","[""Ganzuas"", ""Desarmadores"", ""Taladro""]","[""Ruido por perforacion""]",[],Solicitar identificacion y acta de perdida.,60,950,MXN,True,OC-LOCK-12,[],True,,2026-01-26T07:55:00-06:00,2026-01-26T07:55:00-06:00
